Tournament,Match,Name_1,Points_1,Result_1,Name_2,Points_2,Result_2
1,1,liars dice test B,19,W,Secret Agent,13,L
1,2,liars dice test B,14,D,Agentic Architects,14,D
1,3,liars dice test B,11,L,DeepSeek - RyVi,17,W
1,4,liars dice test B,-8,L,Amber-Agent2,40,W
1,5,liars dice test B,19,W,koconnor_test,13,L
1,6,liars dice test B,19,W,Tit4Tat-Agent,13,L
1,7,Secret Agent,16,D,Agentic Architects,16,D
1,8,Secret Agent,25,W,DeepSeek - RyVi,-5,L
1,9,Secret Agent,-3,L,Amber-Agent2,15,W
1,10,Secret Agent,16,D,koconnor_test,16,D
1,11,Secret Agent,16,D,Tit4Tat-Agent,16,D
1,12,Agentic Architects,8,L,DeepSeek - RyVi,20,W
1,13,Agentic Architects,-8,L,Amber-Agent2,40,W
1,14,Agentic Architects,-2,L,koconnor_test,10,W
1,15,Agentic Architects,19,W,Tit4Tat-Agent,13,L
1,16,DeepSeek - RyVi,-4,L,Amber-Agent2,20,W
1,17,DeepSeek - RyVi,7,L,koconnor_test,13,W
1,18,DeepSeek - RyVi,17,W,Tit4Tat-Agent,11,L
1,19,Amber-Agent2,34,W,koconnor_test,-2,L
1,20,Amber-Agent2,30,W,Tit4Tat-Agent,-6,L
1,21,koconnor_test,0,D,Tit4Tat-Agent,0,D
2,1,DeepSeek - RyVi,5,W,Agentic Architects,-1,L
2,2,DeepSeek - RyVi,9,W,Tit4Tat-Agent,3,L
2,3,DeepSeek - RyVi,5,L,Amber-Agent2,11,W
2,4,DeepSeek - RyVi,10,W,liars dice test B,-2,L
2,5,DeepSeek - RyVi,0,D,Secret Agent,0,D
2,6,DeepSeek - RyVi,0,D,koconnor_test,0,D
2,7,Agentic Architects,8,D,Tit4Tat-Agent,8,D
2,8,Agentic Architects,4,L,Amber-Agent2,16,W
2,9,Agentic Architects,0,L,liars dice test B,12,W
2,10,Agentic Architects,13,W,Secret Agent,7,L
2,11,Agentic Architects,-1,L,koconnor_test,5,W
2,12,Tit4Tat-Agent,4,L,Amber-Agent2,16,W
2,13,Tit4Tat-Agent,7,L,liars dice test B,13,W
2,14,Tit4Tat-Agent,5,W,Secret Agent,-1,L
2,15,Tit4Tat-Agent,-2,L,koconnor_test,22,W
2,16,Amber-Agent2,16,W,liars dice test B,4,L
2,17,Amber-Agent2,3,L,Secret Agent,9,W
2,18,Amber-Agent2,16,W,koconnor_test,4,L
2,19,liars dice test B,-1,L,Secret Agent,5,W
2,20,liars dice test B,7,W,koconnor_test,1,L
2,21,Secret Agent,3,L,koconnor_test,9,W
3,1,DeepSeek - RyVi,0,D,Secret Agent,0,D
3,2,DeepSeek - RyVi,4,L,Amber-Agent2,16,W
3,3,DeepSeek - RyVi,0,D,koconnor_test,0,D
3,4,DeepSeek - RyVi,-1,L,Tit4Tat-Agent,5,W
3,5,DeepSeek - RyVi,5,W,Agentic Architects,-1,L
3,6,DeepSeek - RyVi,10,W,liars dice test B,-2,L
3,7,Secret Agent,8,D,Amber-Agent2,8,D
3,8,Secret Agent,0,D,koconnor_test,0,D
3,9,Secret Agent,0,D,Tit4Tat-Agent,0,D
3,10,Secret Agent,5,W,Agentic Architects,-1,L
3,11,Secret Agent,5,W,liars dice test B,-1,L
3,12,Amber-Agent2,13,W,koconnor_test,7,L
3,13,Amber-Agent2,5,L,Tit4Tat-Agent,11,W
3,14,Amber-Agent2,16,W,Agentic Architects,4,L
3,15,Amber-Agent2,16,W,liars dice test B,4,L
3,16,koconnor_test,-1,L,Tit4Tat-Agent,5,W
3,17,koconnor_test,5,W,Agentic Architects,-1,L
3,18,koconnor_test,5,W,liars dice test B,-1,L
3,19,Tit4Tat-Agent,5,W,Agentic Architects,-1,L
3,20,Tit4Tat-Agent,5,W,liars dice test B,-1,L
3,21,Agentic Architects,-1,L,liars dice test B,7,W
